customer_id,customer_name,segment,country,signup_date,lifetime_value
CUST-00001,Customer 1,Corporate,DE,2020-03-23 03:39:13,29190.79
CUST-00002,Customer 2,Corporate,DE,2022-07-26 11:28:08,16608.5
CUST-00003,Customer 3,Consumer,CA,2020-01-03 22:30:51,5540.99
CUST-00004,Customer 4,Consumer,UK,2022-02-17 03:14:03,24578.53
CUST-00005,Customer 5,Consumer,CA,2023-07-17 01:32:08,21112.0
CUST-00006,Customer 6,Corporate,UK,2022-07-28 16:53:48,3552.48
CUST-00007,Customer 7,Corporate,UK,2020-01-07 06:35:02,47724.29
CUST-00008,Customer 8,Consumer,DE,2022-04-07 19:53:30,47826.27
CUST-00009,Customer 9,SMB,DE,2023-02-06 15:06:30,27981.91
CUST-00010,Customer 10,Corporate,DE,2023-10-23 16:11:45,47224.85
CUST-00011,Customer 11,Corporate,US,2024-12-11 16:17:38,12984.37
CUST-00012,Customer 12,Corporate,CA,2021-09-07 04:26:34,39596.44
CUST-00013,Customer 13,Consumer,FR,2024-05-27 04:34:19,47463.04
CUST-00014,Customer 14,Corporate,UK,2020-04-09 15:18:09,19825.0
CUST-00015,Customer 15,Corporate,US,2024-01-23 20:24:33,15194.36
CUST-00016,Customer 16,SMB,DE,2020-01-20 19:46:23,34759.26
CUST-00017,Customer 17,Consumer,CA,2024-02-25 03:17:10,23741.1
CUST-00018,Customer 18,Consumer,UK,2020-11-17 22:21:38,18988.96
CUST-00019,Customer 19,Consumer,UK,2024-02-27 19:23:12,38911.96
CUST-00020,Customer 20,Consumer,US,2024-07-20 14:25:05,12039.65
CUST-00021,Customer 21,Corporate,DE,2022-09-12 14:59:43,34439.93
CUST-00022,Customer 22,Consumer,FR,2020-12-17 21:17:22,19441.75
CUST-00023,Customer 23,Corporate,UK,2022-03-16 15:50:41,13139.72
CUST-00024,Customer 24,Corporate,DE,2020-11-02 06:09:49,46558.81
CUST-00025,Customer 25,Consumer,US,2022-03-02 17:51:37,12470.41
CUST-00026,Customer 26,Consumer,CA,2020-05-01 14:09:59,19403.01
CUST-00027,Customer 27,Corporate,CA,2023-04-06 21:18:18,31092.47
CUST-00028,Customer 28,SMB,US,2020-10-19 20:48:58,3148.34
CUST-00029,Customer 29,SMB,FR,2023-11-03 09:17:03,5197.0
CUST-00030,Customer 30,Consumer,CA,2020-09-28 12:57:04,31484.14
CUST-00031,Customer 31,Corporate,US,2022-02-20 02:24:13,29600.48
CUST-00032,Customer 32,Corporate,CA,2021-02-08 17:03:20,30173.02
CUST-00033,Customer 33,Consumer,US,2023-01-15 01:39:00,29699.94
CUST-00034,Customer 34,SMB,CA,2022-07-27 04:29:10,41748.97
CUST-00035,Customer 35,SMB,FR,2024-07-06 16:36:35,16586.95
CUST-00036,Customer 36,SMB,US,2023-11-17 08:39:05,8861.98
CUST-00037,Customer 37,Consumer,FR,2021-04-02 15:43:24,44881.59
CUST-00038,Customer 38,Consumer,FR,2024-01-29 05:39:04,28017.9
CUST-00039,Customer 39,SMB,UK,2021-12-31 20:00:12,39469.47
CUST-00040,Customer 40,Consumer,US,2024-01-06 01:38:18,9678.29
CUST-00041,Customer 41,Corporate,FR,2021-05-22 05:58:35,23238.57
CUST-00042,Customer 42,SMB,UK,2022-12-24 04:26:19,5999.73
CUST-00043,Customer 43,Consumer,UK,2021-02-18 12:24:45,5036.01
CUST-00044,Customer 44,Corporate,FR,2022-03-29 05:00:35,22764.83
CUST-00045,Customer 45,Corporate,DE,2023-12-06 02:51:20,29794.67
