sku_id,forecast_date,predicted_demand,lower_bound,upper_bound
SKU-02984,2023-02-22,61,22,105
SKU-00182,2024-01-14,13,0,86
SKU-02346,2024-07-25,376,277,382
SKU-00223,2025-09-08,223,177,298
SKU-02108,2024-11-03,194,158,253
SKU-02156,2024-03-08,928,884,969
SKU-01308,2024-03-02,328,260,361
SKU-02377,2023-09-16,31,0,95
SKU-00938,2024-02-28,305,275,351
SKU-02016,2025-10-31,135,43,137
SKU-00814,2025-06-24,915,817,948
SKU-00759,2025-02-08,663,589,708
SKU-01508,2023-12-06,104,47,200
SKU-02424,2025-02-24,370,276,467
SKU-01738,2024-08-18,756,657,833
SKU-02433,2025-11-29,167,167,185
SKU-02099,2024-01-02,759,708,815
SKU-01051,2023-06-16,995,949,1094
SKU-01453,2024-07-18,913,853,923
SKU-00973,2023-06-16,613,532,639
SKU-00837,2023-01-20,629,564,697
SKU-00287,2023-04-25,470,470,510
SKU-02468,2024-02-15,708,684,763
SKU-00046,2025-09-15,272,214,286
SKU-01026,2025-07-09,288,286,296
SKU-02256,2024-01-02,111,24,116
SKU-02399,2024-06-15,272,215,354
SKU-02504,2023-03-15,371,289,465
SKU-00335,2023-01-30,790,747,887
SKU-01893,2025-05-08,333,259,360
SKU-02760,2025-04-23,839,756,873
SKU-01126,2025-08-08,608,576,659
SKU-00330,2023-09-21,116,43,178
SKU-02402,2024-06-27,900,828,907
SKU-02201,2025-02-03,6,0,34
SKU-00685,2025-05-15,576,552,576
SKU-02284,2024-05-27,775,771,816
SKU-00245,2023-04-04,963,914,981
SKU-00734,2024-08-29,45,0,49
SKU-01680,2023-11-08,810,800,868
SKU-00384,2023-06-24,727,671,783
SKU-01538,2024-06-07,87,0,125
SKU-02980,2024-01-06,524,477,526
SKU-02770,2025-09-01,433,432,504
SKU-00737,2024-10-10,355,273,395
SKU-02676,2023-02-24,178,158,259
SKU-01772,2024-01-19,209,201,279
SKU-02120,2023-03-13,44,16,128
SKU-01191,2025-02-21,27,3,64
SKU-02237,2024-12-14,419,376,444
SKU-02284,2023-12-22,13,0,46
SKU-01124,2023-10-22,924,826,1010
SKU-02283,2024-10-25,515,444,535
SKU-00196,2023-12-23,860,773,892
SKU-01334,2024-01-21,846,790,865
SKU-01116,2024-06-05,875,781,896
SKU-02345,2023-01-22,756,683,843
SKU-02542,2025-04-14,147,86,149
SKU-02829,2023-07-09,422,396,487
SKU-02854,2024-03-17,928,910,986
SKU-01335,2024-10-22,16,0,45
SKU-02058,2025-08-16,45,0,142
SKU-01892,2024-09-06,410,366,460
SKU-01511,2024-06-18,546,516,548
SKU-00823,2024-05-13,357,343,423
SKU-00308,2024-02-09,517,455,535
SKU-01219,2023-02-05,596,507,608
SKU-00213,2025-02-20,165,118,236
SKU-02523,2023-06-23,597,524,621
SKU-01966,2024-03-09,312,277,333
SKU-01587,2024-08-07,492,466,575
SKU-02837,2024-10-30,763,753,789
SKU-01783,2025-11-01,832,822,898
SKU-01617,2023-11-20,31,19,79
SKU-00837,2024-01-03,391,344,473
SKU-00213,2023-07-17,485,477,497
SKU-02775,2023-06-17,572,493,614
SKU-02496,2025-01-05,277,229,341
SKU-01619,2023-02-28,524,508,588
SKU-02135,2023-06-03,185,149,275
SKU-00725,2023-11-30,965,901,1014
SKU-01400,2023-05-04,694,693,715
SKU-01601,2025-07-08,826,808,882
SKU-00408,2023-07-14,806,777,830
SKU-00305,2024-11-14,348,277,389
SKU-02762,2025-04-19,532,529,553
SKU-00185,2023-03-01,758,742,767
SKU-02710,2025-11-21,298,291,317
SKU-00109,2024-07-31,465,449,475
SKU-02616,2023-03-19,450,433,526
SKU-01192,2025-04-17,345,314,378
SKU-00571,2025-05-06,817,804,873
SKU-01734,2024-05-16,568,481,619
SKU-00563,2025-04-10,496,407,522
SKU-01208,2025-07-30,132,67,202
SKU-01706,2024-01-16,332,271,385
SKU-02676,2025-02-14,436,397,525
SKU-00061,2024-10-20,96,54,112
SKU-02658,2024-06-24,0,0,48
SKU-00442,2024-08-23,517,514,537
SKU-02350,2025-02-03,218,161,233
SKU-02460,2023-07-09,972,884,1023
SKU-01859,2025-10-21,66,0,90
SKU-01763,2023-03-15,634,544,658
SKU-02338,2025-01-21,247,176,276
SKU-00564,2023-05-13,528,503,582
SKU-02173,2023-06-13,77,39,118
SKU-01082,2024-01-07,850,827,897
SKU-00671,2025-08-27,968,944,1005
SKU-02468,2025-10-09,77,58,122
SKU-01441,2023-12-13,423,382,438
SKU-01118,2024-04-08,896,828,975
SKU-02392,2024-07-04,976,971,1067
SKU-01390,2023-06-20,582,484,672
SKU-01576,2025-10-16,755,663,821
SKU-02900,2025-09-18,624,582,691
SKU-00793,2025-02-06,780,699,875
SKU-01502,2024-04-17,121,95,135
SKU-00169,2024-11-14,862,814,866
SKU-00058,2025-07-15,466,413,512
SKU-00921,2023-12-29,172,128,254
SKU-01959,2025-10-10,56,11,75
SKU-00886,2025-07-12,14,0,32
SKU-01115,2025-05-21,796,748,842
SKU-02274,2025-05-26,303,261,378
SKU-02748,2023-06-24,700,684,722
SKU-02982,2025-03-30,876,813,930
SKU-02944,2024-12-14,86,53,140
SKU-01356,2024-08-13,918,916,974
SKU-00539,2025-02-02,835,754,903
SKU-00287,2023-02-14,335,256,398
SKU-01358,2023-04-13,749,684,843
SKU-01317,2023-03-02,305,257,379
SKU-01745,2024-09-28,819,784,918
SKU-00145,2023-09-27,184,100,269
SKU-02206,2024-11-16,679,649,719
SKU-02718,2023-08-07,405,389,451
SKU-00802,2025-01-04,159,110,172
SKU-00743,2024-10-09,36,0,50
SKU-00552,2024-04-27,705,625,710
SKU-02432,2024-01-14,956,925,1033
SKU-02950,2024-02-21,680,607,740
SKU-02089,2025-02-26,410,344,441
SKU-01232,2025-11-17,42,5,86
SKU-02149,2025-06-01,401,320,435
SKU-01221,2023-11-08,284,193,289
SKU-01714,2024-11-01,284,214,289
SKU-01713,2024-01-01,967,920,1003
SKU-02952,2023-08-30,910,841,915
SKU-00443,2023-12-05,724,671,740
SKU-01248,2023-04-20,706,662,706
SKU-02738,2024-03-06,213,204,291
SKU-01097,2024-07-31,715,714,749
SKU-01979,2024-07-10,642,559,697
SKU-00235,2023-10-08,548,450,566
SKU-02025,2023-09-23,786,768,820
SKU-02592,2025-04-14,123,65,179
SKU-00119,2024-10-08,806,732,831
SKU-01472,2023-02-04,170,71,222
SKU-00890,2023-12-07,787,718,837
SKU-00080,2025-04-21,895,873,931
SKU-02646,2024-06-22,39,0,93
SKU-01267,2025-07-21,983,885,1040
SKU-02115,2024-11-23,330,238,389
SKU-01760,2024-02-08,848,792,912
SKU-01431,2025-08-27,530,502,582
SKU-00660,2024-10-28,741,726,800
