snapshot_date,facility_id,sku_id,on_hand_qty,reserved_qty,available_qty
2025-05-09,FAC-032,SKU-00729,1889,700,1209
2025-09-25,FAC-087,SKU-01840,4477,433,105
2024-02-10,FAC-055,SKU-01193,1726,544,3630
2025-07-06,FAC-053,SKU-00110,4967,425,2045
2024-12-19,FAC-033,SKU-01836,4073,602,1299
2023-01-26,FAC-029,SKU-02554,4958,215,1115
2023-07-26,FAC-056,SKU-02171,1655,498,3940
2024-02-04,FAC-018,SKU-00300,4678,183,1455
2024-08-24,FAC-067,SKU-00092,4796,628,585
2023-02-22,FAC-073,SKU-00386,1012,362,4975
2023-06-12,FAC-037,SKU-02539,1210,91,686
2023-12-03,FAC-072,SKU-00666,3247,722,2323
2024-07-30,FAC-039,SKU-02620,2576,181,780
2023-12-09,FAC-007,SKU-01143,819,193,3409
2024-04-14,FAC-084,SKU-02547,1074,442,4592
2024-08-03,FAC-081,SKU-00544,4695,896,1367
2025-11-10,FAC-019,SKU-00284,2744,172,1679
2023-10-03,FAC-097,SKU-00228,2958,792,2940
2025-07-27,FAC-099,SKU-00995,4180,258,2150
2024-02-23,FAC-025,SKU-02367,2660,454,3611
2025-08-14,FAC-098,SKU-01922,3405,88,3521
2025-02-11,FAC-033,SKU-00271,641,590,2336
2024-05-16,FAC-002,SKU-00062,4312,627,3610
2025-05-29,FAC-032,SKU-02694,794,568,1053
2023-12-07,FAC-032,SKU-02986,2676,579,4179
2023-03-27,FAC-087,SKU-02964,4658,129,4951
2023-02-15,FAC-030,SKU-01918,4773,5,3634
2024-01-23,FAC-096,SKU-01474,1042,120,249
2024-09-11,FAC-020,SKU-01535,4713,738,3712
2024-01-18,FAC-033,SKU-02600,3055,289,4645
2025-03-06,FAC-023,SKU-01668,157,852,4710
2023-02-19,FAC-064,SKU-00791,4592,124,941
2023-09-22,FAC-043,SKU-00829,1868,374,4927
2025-06-15,FAC-036,SKU-00982,1946,570,1423
2023-07-30,FAC-093,SKU-02757,4242,21,2820
2025-10-16,FAC-050,SKU-02263,484,435,2436
2025-02-06,FAC-012,SKU-02005,3496,872,3698
2025-01-23,FAC-081,SKU-00379,270,220,846
2024-10-06,FAC-019,SKU-02241,2403,240,2194
2023-04-16,FAC-099,SKU-00195,4896,525,4670
2023-01-18,FAC-047,SKU-00415,641,937,3305
2023-03-30,FAC-091,SKU-01528,3562,496,1198
2023-07-21,FAC-061,SKU-02199,1194,838,218
2024-11-03,FAC-080,SKU-00566,1177,708,3090
2023-02-12,FAC-086,SKU-00263,580,142,374
2025-10-05,FAC-097,SKU-00490,1302,51,40
2024-02-28,FAC-046,SKU-02362,3643,751,4954
2025-07-31,FAC-096,SKU-01993,3973,717,3364
2025-01-18,FAC-028,SKU-02922,572,484,4460
2024-08-16,FAC-094,SKU-01048,3392,802,2698
2025-07-03,FAC-081,SKU-02141,2036,828,4042
2024-02-11,FAC-031,SKU-00734,3454,880,1143
2024-02-26,FAC-044,SKU-02985,2400,376,2349
2024-08-12,FAC-014,SKU-00107,4889,347,3121
2024-07-17,FAC-064,SKU-00604,1423,100,492
2024-08-15,FAC-002,SKU-02844,1150,345,4347
2024-06-06,FAC-072,SKU-00082,299,965,2563
2024-01-17,FAC-052,SKU-02119,157,943,3511
2024-12-01,FAC-048,SKU-01015,4225,302,495
2023-06-09,FAC-034,SKU-00106,4931,199,4934
2023-02-05,FAC-038,SKU-01951,549,969,4649
2025-05-14,FAC-044,SKU-02630,1174,301,2529
