order_item_id,order_id,sku_id,quantity,unit_price,discount_amount,tax_amount
ITEM-601886,ORD-000001,SKU-02872,7,403.43,19.06,9.49
ITEM-888423,ORD-000001,SKU-01407,3,52.45,17.76,14.15
ITEM-921766,ORD-000001,SKU-01033,8,49.91,13.03,4.01
ITEM-368261,ORD-000001,SKU-02652,2,173.16,37.59,10.48
ITEM-922015,ORD-000002,SKU-02483,1,491.1,2.96,7.46
ITEM-001813,ORD-000003,SKU-02168,1,7.31,19.24,0.55
ITEM-949114,ORD-000003,SKU-02327,10,190.54,3.47,3.45
ITEM-522402,ORD-000004,SKU-00745,9,113.1,17.26,17.44
ITEM-956946,ORD-000004,SKU-00634,10,190.21,8.85,8.81
ITEM-887068,ORD-000004,SKU-00728,9,78.68,40.95,0.61
ITEM-040658,ORD-000004,SKU-02202,2,404.57,15.58,5.83
ITEM-366010,ORD-000004,SKU-02798,3,297.1,8.37,1.99
ITEM-632820,ORD-000005,SKU-00636,10,460.4,46.89,18.57
ITEM-574600,ORD-000005,SKU-01593,8,472.29,33.44,1.31
ITEM-383458,ORD-000006,SKU-00580,4,480.39,24.54,15.88
ITEM-043611,ORD-000006,SKU-01468,1,458.72,46.06,16.22
ITEM-103579,ORD-000007,SKU-02130,2,333.44,16.03,10.55
ITEM-603023,ORD-000007,SKU-02877,9,263.23,37.85,12.86
ITEM-296288,ORD-000007,SKU-01313,3,226.71,9.9,18.88
ITEM-447029,ORD-000007,SKU-01656,7,191.65,24.52,9.82
ITEM-337133,ORD-000007,SKU-02299,8,306.78,15.29,19.85
ITEM-808288,ORD-000008,SKU-02802,1,266.14,2.08,18.94
ITEM-322039,ORD-000008,SKU-02407,10,273.68,32.05,14.79
ITEM-560246,ORD-000008,SKU-00115,1,483.55,19.25,7.04
ITEM-054983,ORD-000009,SKU-02803,7,370.58,26.2,3.57
ITEM-388838,ORD-000009,SKU-02790,1,455.78,4.93,19.0
ITEM-935704,ORD-000009,SKU-00908,6,41.12,10.18,4.13
ITEM-671531,ORD-000009,SKU-02511,1,27.39,19.07,18.01
ITEM-121982,ORD-000009,SKU-01190,1,452.68,32.98,18.3
ITEM-185659,ORD-000010,SKU-01598,4,189.03,41.89,0.9
ITEM-148552,ORD-000010,SKU-02453,4,312.77,12.91,18.44
ITEM-713447,ORD-000010,SKU-02337,5,106.41,43.93,14.73
ITEM-429081,ORD-000011,SKU-02828,1,210.86,20.68,5.56
ITEM-944847,ORD-000011,SKU-00777,8,130.45,0.52,13.85
ITEM-043830,ORD-000011,SKU-02851,8,68.8,34.47,1.41
ITEM-120879,ORD-000012,SKU-00651,8,37.92,26.85,3.35
ITEM-713982,ORD-000013,SKU-02929,7,145.98,14.32,17.11
ITEM-274202,ORD-000013,SKU-00445,2,200.48,44.28,4.04
ITEM-090706,ORD-000013,SKU-02273,8,104.39,25.91,0.71
ITEM-114656,ORD-000014,SKU-00457,4,23.83,19.4,1.67
ITEM-727310,ORD-000014,SKU-00277,4,220.79,18.55,14.77
ITEM-463496,ORD-000014,SKU-02446,1,333.12,25.18,19.49
ITEM-805883,ORD-000014,SKU-00862,6,26.66,0.71,3.05
ITEM-966620,ORD-000015,SKU-00719,6,233.71,45.08,1.13
ITEM-398495,ORD-000015,SKU-00628,5,255.27,11.26,12.54
ITEM-352205,ORD-000015,SKU-02696,8,17.53,22.03,16.87
ITEM-554232,ORD-000016,SKU-01179,9,84.74,27.36,6.35
ITEM-116776,ORD-000016,SKU-02805,2,207.91,26.71,12.37
ITEM-178170,ORD-000016,SKU-02966,6,188.33,7.17,2.08
ITEM-245013,ORD-000016,SKU-00025,7,6.69,2.92,7.75
ITEM-594496,ORD-000016,SKU-00491,4,382.28,1.76,10.91
ITEM-680382,ORD-000017,SKU-01952,10,324.17,14.12,12.32
ITEM-954457,ORD-000018,SKU-00974,8,308.24,17.26,19.76
ITEM-477086,ORD-000018,SKU-01963,3,229.84,43.97,4.48
ITEM-300799,ORD-000018,SKU-02610,3,481.7,19.42,5.14
ITEM-168105,ORD-000018,SKU-01508,1,218.71,14.99,0.85
ITEM-745209,ORD-000019,SKU-02218,4,493.81,6.25,12.53
ITEM-218210,ORD-000019,SKU-01663,7,442.39,23.03,9.05
ITEM-998637,ORD-000019,SKU-01592,8,184.96,16.3,7.98
ITEM-758444,ORD-000019,SKU-02171,4,126.77,35.63,11.37
ITEM-381069,ORD-000020,SKU-01898,9,431.91,39.6,7.5
ITEM-321807,ORD-000020,SKU-00875,7,74.96,5.43,13.04
ITEM-314909,ORD-000020,SKU-02555,7,30.19,10.86,11.03
ITEM-164333,ORD-000020,SKU-02702,7,468.88,21.59,18.86
ITEM-024994,ORD-000020,SKU-02843,4,196.06,33.35,5.47
ITEM-806607,ORD-000021,SKU-00639,7,289.66,40.04,3.01
ITEM-331865,ORD-000021,SKU-01920,4,434.67,6.53,18.63
ITEM-331576,ORD-000021,SKU-02501,10,267.64,31.4,0.71
ITEM-101780,ORD-000021,SKU-00268,2,15.63,46.01,17.39
ITEM-347612,ORD-000021,SKU-00369,6,466.12,17.83,14.87
ITEM-322502,ORD-000022,SKU-00271,6,313.5,15.78,18.09
ITEM-468312,ORD-000022,SKU-01946,6,353.28,14.49,2.03
ITEM-167576,ORD-000023,SKU-00623,3,210.52,26.62,12.37
ITEM-165970,ORD-000023,SKU-02301,9,316.2,34.99,5.62
ITEM-889187,ORD-000023,SKU-01022,2,333.62,7.33,8.9
ITEM-792382,ORD-000023,SKU-00162,3,440.71,23.64,9.54
ITEM-804403,ORD-000023,SKU-00082,10,345.62,40.9,18.62
ITEM-599692,ORD-000024,SKU-00745,8,447.52,48.51,18.93
ITEM-594316,ORD-000024,SKU-01409,6,493.97,44.32,1.38
ITEM-141499,ORD-000024,SKU-02557,5,340.3,45.84,2.22
ITEM-980449,ORD-000024,SKU-02740,4,480.98,16.03,14.23
ITEM-994849,ORD-000024,SKU-00341,6,303.39,39.97,0.32
ITEM-438031,ORD-000025,SKU-00693,6,426.37,9.6,5.6
ITEM-545713,ORD-000025,SKU-00097,8,162.69,8.34,12.99
ITEM-734544,ORD-000025,SKU-01256,5,227.22,21.65,0.81
ITEM-786430,ORD-000025,SKU-02690,8,331.41,16.65,0.63
ITEM-914401,ORD-000025,SKU-02557,1,368.65,0.96,7.61
ITEM-398477,ORD-000026,SKU-01591,1,349.17,13.51,7.5
ITEM-384612,ORD-000026,SKU-02100,7,206.56,17.11,18.86
ITEM-754049,ORD-000026,SKU-01072,9,100.49,14.08,1.67
ITEM-471728,ORD-000026,SKU-02752,2,403.71,45.67,17.23
ITEM-024126,ORD-000027,SKU-00527,2,125.27,8.86,1.3
ITEM-840389,ORD-000028,SKU-00971,2,432.53,0.48,0.27
ITEM-846187,ORD-000028,SKU-01398,10,39.84,29.14,19.31
ITEM-483146,ORD-000028,SKU-02585,6,394.14,5.29,2.44
ITEM-738353,ORD-000028,SKU-00569,4,459.41,46.33,3.71
ITEM-753145,ORD-000028,SKU-00376,1,219.32,34.28,4.2
ITEM-405696,ORD-000029,SKU-01313,9,100.36,40.88,14.16
ITEM-634869,ORD-000030,SKU-02893,3,237.26,36.58,11.84
ITEM-902718,ORD-000030,SKU-00251,8,96.54,0.32,3.52
ITEM-207325,ORD-000030,SKU-01079,3,439.7,28.77,3.79
ITEM-130035,ORD-000030,SKU-02879,2,98.16,42.43,15.13
ITEM-170314,ORD-000031,SKU-01617,10,151.88,20.61,12.81
ITEM-228861,ORD-000031,SKU-01748,5,413.11,36.77,10.61
ITEM-295121,ORD-000032,SKU-00661,2,35.5,24.7,18.05
ITEM-063339,ORD-000032,SKU-02539,7,44.58,38.22,14.32
ITEM-012582,ORD-000032,SKU-02763,2,162.61,38.57,18.29
ITEM-711140,ORD-000033,SKU-00270,10,134.91,41.99,9.02
ITEM-778246,ORD-000033,SKU-01968,6,252.35,38.17,6.27
ITEM-781157,ORD-000033,SKU-00780,4,295.68,2.13,7.06
ITEM-487530,ORD-000033,SKU-01891,6,462.11,42.32,19.45
ITEM-486145,ORD-000033,SKU-01903,8,80.58,36.89,7.71
ITEM-915787,ORD-000034,SKU-00572,6,193.82,43.51,2.99
ITEM-014628,ORD-000035,SKU-01780,3,79.76,47.3,4.34
ITEM-017186,ORD-000035,SKU-01603,8,79.2,16.87,0.43
ITEM-411285,ORD-000035,SKU-00649,5,415.74,42.69,5.55
ITEM-510169,ORD-000036,SKU-02486,8,219.26,47.37,3.2
ITEM-698131,ORD-000036,SKU-00245,6,480.91,3.35,6.47
ITEM-637344,ORD-000037,SKU-01186,3,121.4,47.17,16.07
ITEM-436570,ORD-000037,SKU-02010,1,478.64,31.58,6.77
ITEM-325701,ORD-000037,SKU-02802,10,217.35,6.09,2.59
ITEM-295591,ORD-000037,SKU-01398,6,404.53,43.2,7.39
ITEM-066192,ORD-000038,SKU-00073,8,188.15,12.31,18.89
ITEM-721716,ORD-000038,SKU-00957,6,318.77,45.09,9.52
ITEM-294159,ORD-000038,SKU-02274,6,290.72,16.55,3.89
ITEM-133309,ORD-000038,SKU-01319,10,485.71,11.45,11.86
ITEM-852830,ORD-000039,SKU-01021,8,283.83,44.53,6.27
ITEM-923511,ORD-000039,SKU-00392,7,376.35,31.18,1.63
ITEM-485165,ORD-000040,SKU-02469,5,38.13,19.48,3.86
ITEM-807347,ORD-000040,SKU-01132,3,185.07,38.89,9.47
ITEM-234182,ORD-000040,SKU-02594,1,166.97,41.24,9.65
ITEM-153219,ORD-000040,SKU-01118,6,244.93,15.71,17.66
ITEM-864170,ORD-000041,SKU-02646,4,479.07,29.88,2.41
ITEM-769047,ORD-000041,SKU-00249,4,264.13,25.21,4.96
ITEM-443539,ORD-000042,SKU-02870,1,152.6,10.21,5.92
ITEM-030222,ORD-000042,SKU-02670,7,43.96,23.25,18.2
ITEM-154786,ORD-000042,SKU-01830,7,279.86,29.69,15.17
ITEM-112979,ORD-000042,SKU-01121,8,141.59,35.31,9.07
ITEM-614970,ORD-000043,SKU-00527,6,478.27,6.2,17.35
ITEM-579418,ORD-000043,SKU-01955,6,75.17,41.59,7.5
ITEM-659440,ORD-000044,SKU-01779,6,200.79,16.33,16.72
ITEM-674886,ORD-000045,SKU-01159,6,284.98,28.43,17.67
ITEM-757887,ORD-000046,SKU-02938,3,250.85,46.35,2.8
ITEM-548176,ORD-000047,SKU-00670,4,50.47,18.02,7.14
ITEM-432687,ORD-000048,SKU-01408,2,248.77,27.26,10.49
ITEM-728327,ORD-000049,SKU-00635,9,412.31,40.72,8.97
ITEM-120848,ORD-000049,SKU-01069,4,123.44,32.24,11.15
ITEM-055033,ORD-000049,SKU-02634,4,241.95,2.11,15.17
ITEM-996112,ORD-000049,SKU-00626,3,252.79,16.15,15.12
ITEM-020192,ORD-000050,SKU-02090,5,248.65,33.48,13.94
ITEM-576750,ORD-000050,SKU-00279,1,104.06,1.8,4.59
ITEM-515339,ORD-000050,SKU-00030,6,352.4,29.08,7.36
ITEM-942229,ORD-000050,SKU-00673,7,110.33,26.81,18.3
ITEM-295088,ORD-000051,SKU-01089,9,190.28,19.42,16.7
ITEM-790807,ORD-000051,SKU-02489,5,170.57,16.35,5.21
ITEM-124957,ORD-000051,SKU-02665,5,228.57,22.28,19.35
ITEM-704482,ORD-000051,SKU-02097,7,106.27,5.63,7.75
ITEM-111915,ORD-000051,SKU-00843,4,381.08,36.79,5.97
ITEM-929723,ORD-000052,SKU-02430,5,183.66,2.72,12.52
ITEM-594382,ORD-000052,SKU-01034,4,257.99,15.5,4.33
ITEM-902151,ORD-000053,SKU-01368,4,252.3,36.0,14.4
ITEM-480127,ORD-000053,SKU-01601,10,378.16,46.04,9.6
ITEM-299204,ORD-000054,SKU-02733,4,43.45,5.36,0.01
ITEM-032716,ORD-000054,SKU-02537,1,429.3,47.34,18.6
ITEM-318187,ORD-000054,SKU-01823,7,365.73,48.06,1.94
ITEM-385929,ORD-000054,SKU-00882,4,485.62,37.09,7.46
ITEM-293579,ORD-000054,SKU-01711,1,152.25,1.75,2.4
ITEM-275488,ORD-000055,SKU-01872,4,64.56,31.84,19.05
ITEM-831272,ORD-000055,SKU-00125,8,91.42,5.63,14.5
ITEM-912043,ORD-000056,SKU-02375,9,140.2,1.13,11.26
ITEM-066358,ORD-000056,SKU-02996,3,111.66,19.88,7.55
ITEM-038967,ORD-000056,SKU-02038,7,416.07,20.62,19.46
ITEM-604778,ORD-000056,SKU-00181,2,479.92,43.82,14.2
ITEM-212545,ORD-000057,SKU-01095,1,337.27,48.16,3.76
ITEM-723177,ORD-000057,SKU-01835,1,497.94,2.21,11.26
ITEM-898628,ORD-000057,SKU-01784,9,476.31,24.43,4.63
ITEM-889672,ORD-000057,SKU-00194,5,185.2,29.9,9.13
ITEM-571045,ORD-000058,SKU-00672,6,331.01,18.56,11.02
ITEM-152774,ORD-000058,SKU-01314,6,206.47,29.01,7.44
ITEM-364315,ORD-000058,SKU-01198,3,408.04,37.58,9.89
ITEM-568610,ORD-000058,SKU-01671,6,480.89,4.32,5.06
ITEM-348971,ORD-000059,SKU-01470,8,228.13,26.96,13.61
ITEM-932961,ORD-000059,SKU-00176,6,255.64,42.99,12.5
ITEM-358246,ORD-000060,SKU-02213,3,426.29,28.68,19.54
ITEM-830764,ORD-000060,SKU-00844,7,45.46,20.95,2.24
ITEM-525739,ORD-000060,SKU-02229,1,262.19,28.77,5.09
ITEM-577188,ORD-000060,SKU-02723,3,371.16,34.2,15.75
ITEM-512943,ORD-000060,SKU-00479,6,367.27,39.85,10.97
ITEM-548533,ORD-000061,SKU-02691,7,113.44,17.56,8.16
ITEM-788074,ORD-000061,SKU-00436,4,322.03,22.68,16.69
ITEM-938722,ORD-000061,SKU-00772,1,447.13,48.46,16.0
ITEM-519258,ORD-000061,SKU-00592,2,348.99,15.33,15.12
ITEM-865319,ORD-000062,SKU-00858,9,320.93,47.58,3.82
ITEM-017008,ORD-000062,SKU-00128,5,64.93,9.29,15.52
ITEM-074802,ORD-000062,SKU-00275,5,229.04,5.95,18.9
ITEM-011082,ORD-000063,SKU-02859,10,153.61,19.39,4.17
ITEM-449340,ORD-000063,SKU-02537,10,460.18,31.76,11.87
ITEM-712107,ORD-000063,SKU-02013,1,252.5,17.57,5.12
ITEM-496603,ORD-000063,SKU-01572,9,386.04,21.14,11.74
ITEM-995227,ORD-000064,SKU-02806,8,497.35,19.0,19.26
ITEM-795922,ORD-000064,SKU-00356,8,129.82,4.6,4.91
ITEM-870979,ORD-000064,SKU-02932,2,230.07,37.45,4.83
ITEM-036011,ORD-000065,SKU-01323,5,278.55,35.2,9.02
ITEM-643530,ORD-000065,SKU-01682,2,10.1,6.42,17.25
ITEM-818765,ORD-000065,SKU-00116,9,224.99,25.1,9.26
ITEM-730995,ORD-000065,SKU-02315,7,401.65,26.78,14.49
ITEM-614111,ORD-000066,SKU-00482,9,248.09,45.11,5.87
ITEM-170652,ORD-000066,SKU-00164,5,302.55,21.34,13.74
ITEM-878051,ORD-000066,SKU-00315,4,243.66,12.45,7.75
ITEM-809986,ORD-000067,SKU-01544,1,154.63,11.17,17.31
ITEM-611918,ORD-000067,SKU-02021,4,358.34,40.42,18.96
ITEM-106471,ORD-000068,SKU-00674,3,70.34,48.94,12.1
ITEM-459379,ORD-000069,SKU-02033,6,398.2,21.5,14.17
ITEM-665670,ORD-000070,SKU-02227,2,212.22,1.68,8.73
ITEM-736151,ORD-000070,SKU-01730,2,37.26,13.14,18.97
ITEM-375016,ORD-000070,SKU-01945,7,256.02,12.16,18.56
