order_id,customer_id,order_date,order_status,order_total,currency,sales_channel,shipping_method,country,promo_code,created_timestamp
ORD-000001,CUST-01310,2023-11-28 12:55:05,DELIVERED,185.38,USD,ONLINE,EXPRESS,CA,,2025-12-08 01:51:51.482711
ORD-000002,CUST-00229,2025-01-10 16:38:33,CANCELLED,438.03,USD,ONLINE,EXPRESS,DE,,2025-12-08 01:51:51.482715
ORD-000003,CUST-00052,2023-05-02 01:45:58,SHIPPED,1509.89,GBP,ONLINE,STANDARD,UK,,2025-12-08 01:51:51.482716
ORD-000004,CUST-01519,2023-07-26 03:24:24,CANCELLED,121.56,USD,DISTRIBUTOR,EXPRESS,DE,SPRING20,2025-12-08 01:51:51.482716
ORD-000005,CUST-00564,2025-07-11 05:58:33,CANCELLED,995.22,GBP,DISTRIBUTOR,OVERNIGHT,CA,,2025-12-08 01:51:51.482717
ORD-000006,CUST-00502,2023-12-18 09:00:23,PROCESSING,895.37,GBP,ONLINE,OVERNIGHT,FR,WELCOME5,2025-12-08 01:51:51.482717
ORD-000007,CUST-00458,2025-03-17 22:17:07,SHIPPED,682.11,USD,ONLINE,EXPRESS,US,HOLIDAY10,2025-12-08 01:51:51.482717
ORD-000008,CUST-00286,2025-11-22 07:35:36,SHIPPED,801.25,USD,DISTRIBUTOR,OVERNIGHT,FR,,2025-12-08 01:51:51.482717
ORD-000009,CUST-01509,2024-11-22 09:17:45,SHIPPED,1069.28,USD,DISTRIBUTOR,OVERNIGHT,UK,,2025-12-08 01:51:51.482718
ORD-000010,CUST-00210,2023-01-15 10:14:33,CANCELLED,339.51,USD,STORE,STANDARD,FR,,2025-12-08 01:51:51.482718
ORD-000011,CUST-01386,2023-01-13 12:35:39,DELIVERED,1152.55,USD,ONLINE,EXPRESS,DE,,2025-12-08 01:51:51.482718
ORD-000012,CUST-01517,2024-06-17 17:22:21,SHIPPED,1614.76,EUR,DISTRIBUTOR,EXPRESS,CA,,2025-12-08 01:51:51.482719
ORD-000013,CUST-01828,2023-07-07 08:03:43,CANCELLED,1525.12,USD,ONLINE,STANDARD,FR,,2025-12-08 01:51:51.482719
ORD-000014,CUST-01117,2024-10-18 01:00:16,PROCESSING,324.72,EUR,ONLINE,STANDARD,FR,WELCOME5,2025-12-08 01:51:51.482719
ORD-000015,CUST-00179,2023-07-25 07:50:48,DELIVERED,315.51,GBP,ONLINE,STANDARD,CA,HOLIDAY10,2025-12-08 01:51:51.482719
ORD-000016,CUST-01210,2025-01-12 01:57:21,PROCESSING,550.99,USD,STORE,STANDARD,DE,,2025-12-08 01:51:51.482719
ORD-000017,CUST-00865,2023-04-21 00:40:14,DELIVERED,734.93,USD,DISTRIBUTOR,OVERNIGHT,US,,2025-12-08 01:51:51.482720
ORD-000018,CUST-00066,2023-12-22 15:45:28,CANCELLED,828.74,USD,DISTRIBUTOR,OVERNIGHT,FR,WELCOME5,2025-12-08 01:51:51.482720
ORD-000019,CUST-00062,2024-08-18 01:52:55,NEW,1365.8,GBP,ONLINE,STANDARD,UK,SPRING20,2025-12-08 01:51:51.482720
ORD-000020,CUST-00192,2023-05-19 18:30:14,DELIVERED,132.23,EUR,DISTRIBUTOR,EXPRESS,DE,,2025-12-08 01:51:51.482720
ORD-000021,CUST-00448,2023-06-09 02:45:42,PROCESSING,88.65,EUR,STORE,EXPRESS,DE,,2025-12-08 01:51:51.482721
ORD-000022,CUST-00477,2023-06-10 07:37:55,CANCELLED,795.98,USD,ONLINE,EXPRESS,FR,,2025-12-08 01:51:51.482721
ORD-000023,CUST-01035,2024-05-01 18:35:23,DELIVERED,1400.38,USD,STORE,STANDARD,CA,,2025-12-08 01:51:51.482721
ORD-000024,CUST-01233,2024-07-24 23:41:34,NEW,403.0,USD,STORE,OVERNIGHT,FR,,2025-12-08 01:51:51.482721
ORD-000025,CUST-00055,2024-04-09 21:02:50,NEW,1290.18,USD,DISTRIBUTOR,OVERNIGHT,FR,SPRING20,2025-12-08 01:51:51.482722
ORD-000026,CUST-01150,2023-08-02 00:33:02,SHIPPED,534.46,GBP,DISTRIBUTOR,OVERNIGHT,CA,,2025-12-08 01:51:51.482722
ORD-000027,CUST-00408,2024-08-17 12:52:29,SHIPPED,1774.45,USD,STORE,OVERNIGHT,UK,,2025-12-08 01:51:51.482722
ORD-000028,CUST-01467,2023-07-26 20:03:04,PROCESSING,1793.47,GBP,DISTRIBUTOR,EXPRESS,CA,,2025-12-08 01:51:51.482722
ORD-000029,CUST-01331,2025-09-23 15:41:32,DELIVERED,608.63,USD,STORE,EXPRESS,FR,,2025-12-08 01:51:51.482723
ORD-000030,CUST-01437,2025-11-17 21:30:00,DELIVERED,475.39,EUR,STORE,OVERNIGHT,US,,2025-12-08 01:51:51.482723
ORD-000031,CUST-01117,2023-08-10 21:56:54,SHIPPED,834.38,EUR,ONLINE,STANDARD,CA,WELCOME5,2025-12-08 01:51:51.482723
ORD-000032,CUST-00860,2023-04-17 06:34:10,DELIVERED,496.25,USD,STORE,OVERNIGHT,UK,,2025-12-08 01:51:51.482723
ORD-000033,CUST-00452,2025-04-04 02:46:55,DELIVERED,1351.32,USD,STORE,OVERNIGHT,CA,,2025-12-08 01:51:51.482723
ORD-000034,CUST-00920,2025-05-25 01:01:07,NEW,1655.61,GBP,DISTRIBUTOR,STANDARD,CA,,2025-12-08 01:51:51.482724
ORD-000035,CUST-01207,2023-01-14 03:57:40,SHIPPED,1352.72,USD,ONLINE,OVERNIGHT,DE,WELCOME5,2025-12-08 01:51:51.482724
ORD-000036,CUST-00570,2025-08-06 02:21:01,CANCELLED,1652.21,USD,DISTRIBUTOR,EXPRESS,DE,SPRING20,2025-12-08 01:51:51.482724
ORD-000037,CUST-01658,2025-10-06 18:30:36,SHIPPED,806.04,USD,ONLINE,STANDARD,FR,,2025-12-08 01:51:51.482724
ORD-000038,CUST-01781,2023-09-12 22:42:30,CANCELLED,329.51,EUR,DISTRIBUTOR,STANDARD,FR,WELCOME5,2025-12-08 01:51:51.482725
ORD-000039,CUST-00014,2024-11-14 16:05:44,NEW,1481.14,GBP,STORE,OVERNIGHT,CA,,2025-12-08 01:51:51.482725
ORD-000040,CUST-01555,2024-06-29 13:13:37,PROCESSING,733.74,EUR,ONLINE,EXPRESS,US,,2025-12-08 01:51:51.482725
ORD-000041,CUST-01651,2023-11-27 23:16:58,DELIVERED,1349.12,GBP,ONLINE,EXPRESS,FR,WELCOME5,2025-12-08 01:51:51.482725
ORD-000042,CUST-00327,2025-09-02 16:31:15,NEW,555.88,EUR,ONLINE,EXPRESS,CA,,2025-12-08 01:51:51.482726
ORD-000043,CUST-01430,2023-08-24 03:38:11,DELIVERED,180.83,USD,ONLINE,OVERNIGHT,CA,,2025-12-08 01:51:51.482726
ORD-000044,CUST-00866,2024-10-01 13:39:26,PROCESSING,1985.31,EUR,DISTRIBUTOR,OVERNIGHT,CA,,2025-12-08 01:51:51.482726
ORD-000045,CUST-00697,2025-08-15 00:58:42,PROCESSING,329.28,EUR,DISTRIBUTOR,EXPRESS,CA,,2025-12-08 01:51:51.482726
ORD-000046,CUST-00570,2024-11-18 05:15:57,NEW,1977.07,GBP,ONLINE,OVERNIGHT,CA,,2025-12-08 01:51:51.482726
ORD-000047,CUST-00319,2023-12-04 11:28:07,PROCESSING,1955.01,GBP,ONLINE,EXPRESS,DE,HOLIDAY10,2025-12-08 01:51:51.482727
ORD-000048,CUST-00441,2023-05-15 15:57:50,CANCELLED,1591.76,EUR,ONLINE,OVERNIGHT,UK,HOLIDAY10,2025-12-08 01:51:51.482727
ORD-000049,CUST-01961,2023-06-06 01:36:39,PROCESSING,1325.66,GBP,DISTRIBUTOR,STANDARD,UK,,2025-12-08 01:51:51.482727
ORD-000050,CUST-01564,2023-08-06 12:04:05,DELIVERED,1164.06,GBP,ONLINE,STANDARD,CA,,2025-12-08 01:51:51.482727
ORD-000051,CUST-00690,2023-07-11 07:38:02,DELIVERED,1734.88,GBP,ONLINE,OVERNIGHT,FR,,2025-12-08 01:51:51.482728
ORD-000052,CUST-00210,2025-07-04 20:54:31,DELIVERED,593.09,GBP,ONLINE,OVERNIGHT,US,,2025-12-08 01:51:51.482728
ORD-000053,CUST-00190,2024-08-19 13:44:50,DELIVERED,946.01,GBP,DISTRIBUTOR,EXPRESS,CA,SPRING20,2025-12-08 01:51:51.482728
ORD-000054,CUST-00779,2024-06-30 02:11:54,CANCELLED,1246.39,EUR,STORE,STANDARD,US,,2025-12-08 01:51:51.482728
ORD-000055,CUST-00199,2024-10-29 00:46:21,SHIPPED,834.16,GBP,STORE,EXPRESS,DE,,2025-12-08 01:51:51.482729
ORD-000056,CUST-00736,2024-05-03 13:32:47,NEW,866.42,USD,DISTRIBUTOR,OVERNIGHT,UK,,2025-12-08 01:51:51.482729
ORD-000057,CUST-01736,2023-08-06 05:14:50,DELIVERED,673.96,EUR,STORE,EXPRESS,DE,,2025-12-08 01:51:51.482729
ORD-000058,CUST-00705,2024-01-20 22:08:44,PROCESSING,1137.18,EUR,ONLINE,EXPRESS,FR,,2025-12-08 01:51:51.482729
