procurement_id,component_id,supplier_id,order_date,expected_delivery_date,quantity_ordered,unit_cost,status
PROC-000001,COMP-04253,SUP-0072,2023-12-30 23:59:51,2025-09-11 23:35:13,476,167.52,CANCELLED
PROC-000002,COMP-01748,SUP-0292,2025-07-28 17:27:25,2025-07-06 23:40:53,362,6.82,ORDERED
PROC-000003,COMP-00055,SUP-0094,2024-02-11 06:05:33,2025-01-11 05:58:13,365,155.76,ORDERED
PROC-000004,COMP-04132,SUP-0277,2025-07-16 08:37:25,2025-05-06 02:01:52,280,13.5,ORDERED
PROC-000005,COMP-02824,SUP-0201,2023-04-25 05:44:02,2025-07-22 20:45:42,280,167.85,DELIVERED
PROC-000006,COMP-00142,SUP-0044,2024-02-10 09:45:17,2025-06-09 12:12:25,259,176.59,ORDERED
PROC-000007,COMP-03080,SUP-0134,2023-10-07 07:00:38,2025-05-11 02:40:00,443,157.41,ORDERED
PROC-000008,COMP-03618,SUP-0304,2025-06-02 02:40:20,2025-07-28 14:24:22,442,164.33,CANCELLED
PROC-000009,COMP-01249,SUP-0086,2023-07-08 19:26:05,2025-05-20 18:37:56,329,112.74,IN_TRANSIT
PROC-000010,COMP-00312,SUP-0297,2024-10-24 16:27:11,2026-09-05 12:51:12,24,53.71,DELIVERED
PROC-000011,COMP-04746,SUP-0037,2025-01-02 20:11:27,2026-03-30 16:53:33,450,129.0,DELIVERED
PROC-000012,COMP-00398,SUP-0331,2025-10-22 08:24:05,2025-09-05 16:37:51,375,88.47,CANCELLED
PROC-000013,COMP-00583,SUP-0474,2024-01-09 02:22:01,2026-02-21 23:32:54,296,2.06,ORDERED
PROC-000014,COMP-00679,SUP-0442,2023-07-30 11:33:14,2025-03-08 11:00:14,476,95.89,IN_TRANSIT
PROC-000015,COMP-04875,SUP-0398,2024-03-03 03:39:28,2025-12-27 11:30:10,327,130.59,CANCELLED
PROC-000016,COMP-00901,SUP-0226,2024-04-22 08:58:41,2025-09-05 10:38:24,393,3.76,IN_TRANSIT
PROC-000017,COMP-01609,SUP-0490,2024-04-03 12:55:58,2026-04-09 18:44:36,109,124.65,ORDERED
PROC-000018,COMP-01616,SUP-0181,2023-09-04 06:52:18,2026-01-09 01:16:04,359,130.85,IN_TRANSIT
PROC-000019,COMP-03753,SUP-0084,2025-04-04 21:20:08,2026-09-25 18:14:14,444,32.46,CANCELLED
PROC-000020,COMP-02394,SUP-0320,2024-06-10 09:03:52,2025-08-23 11:35:07,423,86.78,ORDERED
PROC-000021,COMP-01564,SUP-0485,2023-01-14 23:45:46,2025-10-11 16:08:55,289,192.9,DELIVERED
PROC-000022,COMP-04771,SUP-0279,2025-08-04 02:55:52,2025-10-07 21:36:44,418,176.95,IN_TRANSIT
PROC-000023,COMP-04625,SUP-0297,2024-05-16 22:25:30,2025-07-08 22:43:17,318,82.75,ORDERED
PROC-000024,COMP-01312,SUP-0222,2025-08-21 22:09:55,2026-02-11 04:28:07,341,70.62,ORDERED
PROC-000025,COMP-02095,SUP-0301,2024-08-18 22:29:36,2026-09-17 05:23:45,317,25.69,CANCELLED
PROC-000026,COMP-04197,SUP-0204,2024-09-23 21:19:42,2025-06-25 17:50:04,349,8.0,ORDERED
PROC-000027,COMP-01793,SUP-0043,2023-05-06 18:01:56,2026-10-24 01:23:16,27,60.2,CANCELLED
PROC-000028,COMP-00010,SUP-0370,2024-10-19 00:44:27,2025-07-08 18:30:24,126,188.12,DELIVERED
PROC-000029,COMP-01510,SUP-0328,2025-08-09 05:41:02,2026-04-10 14:37:19,401,191.76,IN_TRANSIT
PROC-000030,COMP-00813,SUP-0257,2025-10-17 05:33:27,2025-01-02 01:18:34,316,162.69,DELIVERED
PROC-000031,COMP-00059,SUP-0498,2023-02-12 05:26:34,2026-03-11 00:41:50,170,70.81,CANCELLED
