return_id,order_id,sku_id,return_date,return_reason,refund_amount,condition
RET-000001,ORD-000329,SKU-00567,2025-03-21 09:08:26,NO_LONGER_NEEDED,194.62,USED
RET-000002,ORD-000738,SKU-02873,2023-01-14 19:40:43,NO_LONGER_NEEDED,194.62,USED
RET-000003,ORD-000902,SKU-01125,2023-10-20 20:01:31,NOT_AS_DESCRIBED,194.62,USED
RET-000004,ORD-003480,SKU-00834,2024-09-15 16:37:04,SIZE_ISSUE,194.62,USED
RET-000005,ORD-000269,SKU-01591,2024-09-02 01:55:03,SIZE_ISSUE,194.62,NEW
RET-000006,ORD-004615,SKU-01873,2023-07-18 02:17:07,SIZE_ISSUE,194.62,USED
RET-000007,ORD-002310,SKU-01445,2024-02-29 23:14:56,NO_LONGER_NEEDED,194.62,NEW
RET-000008,ORD-002452,SKU-02859,2024-11-04 10:30:53,DAMAGED,194.62,DAMAGED
RET-000009,ORD-004817,SKU-01067,2023-08-17 15:25:13,NOT_AS_DESCRIBED,194.62,USED
RET-000010,ORD-003470,SKU-01913,2024-12-31 13:40:58,NO_LONGER_NEEDED,194.62,USED
RET-000011,ORD-001598,SKU-02446,2023-12-26 03:53:34,SIZE_ISSUE,194.62,DAMAGED
RET-000012,ORD-004551,SKU-02269,2025-07-02 13:58:58,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000013,ORD-003914,SKU-01368,2024-02-23 01:56:11,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000014,ORD-001704,SKU-00445,2023-01-21 19:42:03,DAMAGED,194.62,DAMAGED
RET-000015,ORD-004071,SKU-02689,2023-02-05 02:19:53,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000016,ORD-001627,SKU-01661,2023-10-24 00:29:03,SIZE_ISSUE,194.62,NEW
RET-000017,ORD-003953,SKU-00543,2024-07-12 10:44:31,DAMAGED,194.62,DAMAGED
RET-000018,ORD-000256,SKU-01432,2024-02-05 21:29:16,SIZE_ISSUE,194.62,DAMAGED
RET-000019,ORD-002880,SKU-02218,2024-08-07 02:52:37,SIZE_ISSUE,194.62,USED
RET-000020,ORD-000546,SKU-00918,2025-11-18 15:01:47,SIZE_ISSUE,194.62,NEW
RET-000021,ORD-000850,SKU-00302,2023-12-03 12:42:16,NOT_AS_DESCRIBED,194.62,NEW
RET-000022,ORD-001673,SKU-00309,2025-09-25 15:08:33,DAMAGED,194.62,DAMAGED
RET-000023,ORD-001028,SKU-02889,2025-04-17 12:36:31,NO_LONGER_NEEDED,194.62,NEW
RET-000024,ORD-003510,SKU-01825,2024-02-28 11:51:05,NO_LONGER_NEEDED,194.62,USED
RET-000025,ORD-001974,SKU-01268,2023-08-01 02:58:44,DAMAGED,194.62,DAMAGED
RET-000026,ORD-002421,SKU-02010,2025-10-19 03:52:28,DAMAGED,194.62,USED
RET-000027,ORD-002920,SKU-02671,2023-11-04 20:28:53,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000028,ORD-004063,SKU-00128,2025-10-01 05:29:59,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000029,ORD-004947,SKU-00256,2024-04-08 21:34:34,DAMAGED,194.62,NEW
RET-000030,ORD-000202,SKU-00759,2024-03-18 21:30:41,NO_LONGER_NEEDED,194.62,USED
RET-000031,ORD-002700,SKU-01785,2025-09-21 02:35:38,DAMAGED,194.62,NEW
RET-000032,ORD-000658,SKU-01523,2023-11-30 20:47:25,NO_LONGER_NEEDED,194.62,NEW
RET-000033,ORD-002083,SKU-01396,2023-11-20 05:47:48,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000034,ORD-002163,SKU-00605,2023-03-05 17:59:47,SIZE_ISSUE,194.62,USED
RET-000035,ORD-004751,SKU-00861,2023-10-28 22:34:21,NOT_AS_DESCRIBED,194.62,USED
RET-000036,ORD-002186,SKU-00174,2023-12-25 10:59:01,NO_LONGER_NEEDED,194.62,USED
RET-000037,ORD-002394,SKU-02317,2024-12-07 21:25:42,SIZE_ISSUE,194.62,NEW
RET-000038,ORD-001480,SKU-02750,2024-01-31 18:56:58,DAMAGED,194.62,USED
RET-000039,ORD-003104,SKU-00130,2023-12-19 19:49:40,NO_LONGER_NEEDED,194.62,USED
RET-000040,ORD-001556,SKU-00482,2023-01-10 09:10:40,SIZE_ISSUE,194.62,DAMAGED
RET-000041,ORD-002620,SKU-01049,2025-04-20 22:00:17,NO_LONGER_NEEDED,194.62,USED
RET-000042,ORD-003681,SKU-01839,2025-10-08 20:17:17,SIZE_ISSUE,194.62,USED
RET-000043,ORD-000676,SKU-01889,2024-09-09 18:18:42,SIZE_ISSUE,194.62,DAMAGED
RET-000044,ORD-004878,SKU-00796,2024-10-20 12:05:08,SIZE_ISSUE,194.62,DAMAGED
RET-000045,ORD-002094,SKU-01977,2025-02-09 00:19:21,NO_LONGER_NEEDED,194.62,USED
RET-000046,ORD-004640,SKU-01891,2025-08-13 00:57:48,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000047,ORD-001469,SKU-02993,2025-09-08 11:40:42,SIZE_ISSUE,194.62,USED
RET-000048,ORD-004041,SKU-02316,2025-09-12 13:01:42,NOT_AS_DESCRIBED,194.62,NEW
RET-000049,ORD-003600,SKU-02160,2025-03-19 22:36:15,NO_LONGER_NEEDED,194.62,NEW
RET-000050,ORD-004018,SKU-02223,2024-05-16 03:57:41,DAMAGED,194.62,DAMAGED
RET-000051,ORD-002800,SKU-00311,2023-02-03 03:36:47,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000052,ORD-004776,SKU-01340,2023-02-01 06:13:25,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000053,ORD-002891,SKU-02798,2024-12-14 03:54:00,DAMAGED,194.62,DAMAGED
RET-000054,ORD-000575,SKU-01453,2024-12-14 21:14:05,SIZE_ISSUE,194.62,USED
RET-000055,ORD-002752,SKU-01971,2024-04-21 13:38:47,DAMAGED,194.62,USED
RET-000056,ORD-004889,SKU-00316,2024-06-22 02:52:57,NO_LONGER_NEEDED,194.62,USED
RET-000057,ORD-000759,SKU-01555,2024-04-09 11:21:50,SIZE_ISSUE,194.62,DAMAGED
RET-000058,ORD-001583,SKU-00036,2024-08-01 16:07:27,SIZE_ISSUE,194.62,NEW
RET-000059,ORD-001526,SKU-00227,2023-04-13 05:32:54,SIZE_ISSUE,194.62,USED
RET-000060,ORD-000123,SKU-01868,2023-05-02 02:22:02,NOT_AS_DESCRIBED,194.62,NEW
RET-000061,ORD-002974,SKU-00465,2024-03-05 20:49:49,SIZE_ISSUE,194.62,USED
RET-000062,ORD-004920,SKU-01147,2025-10-09 16:07:56,NOT_AS_DESCRIBED,194.62,USED
RET-000063,ORD-004859,SKU-01889,2023-07-03 21:40:53,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000064,ORD-004146,SKU-02478,2024-03-21 08:16:26,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000065,ORD-002764,SKU-01358,2023-09-20 13:30:19,NO_LONGER_NEEDED,194.62,NEW
RET-000066,ORD-001919,SKU-01587,2023-12-21 09:21:42,NO_LONGER_NEEDED,194.62,NEW
RET-000067,ORD-003798,SKU-01269,2024-01-05 04:41:14,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000068,ORD-001083,SKU-01878,2024-08-10 20:27:35,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000069,ORD-000743,SKU-00177,2023-02-05 12:58:14,SIZE_ISSUE,194.62,NEW
RET-000070,ORD-003033,SKU-01838,2025-10-12 08:29:55,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000071,ORD-000822,SKU-02436,2023-10-02 15:20:53,NOT_AS_DESCRIBED,194.62,USED
RET-000072,ORD-004475,SKU-00294,2023-04-25 19:13:34,NOT_AS_DESCRIBED,194.62,USED
RET-000073,ORD-000489,SKU-00303,2023-10-09 11:46:04,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000074,ORD-004725,SKU-01812,2025-02-27 11:35:43,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000075,ORD-004170,SKU-00063,2023-04-13 14:00:06,NO_LONGER_NEEDED,194.62,NEW
RET-000076,ORD-003216,SKU-01526,2024-03-31 07:27:17,SIZE_ISSUE,194.62,DAMAGED
RET-000077,ORD-002143,SKU-01929,2025-06-03 20:45:04,SIZE_ISSUE,194.62,DAMAGED
RET-000078,ORD-002818,SKU-01472,2024-01-20 14:55:46,SIZE_ISSUE,194.62,USED
RET-000079,ORD-004986,SKU-02444,2025-06-19 17:28:06,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000080,ORD-000014,SKU-02437,2025-11-14 19:07:10,DAMAGED,194.62,DAMAGED
