transaction_id,store_id,sku_id,transaction_timestamp,quantity,unit_price,payment_method,promo_code
TX-000001,STORE-0089,SKU-00476,2024-10-26 02:03:17,4,190.34,CASH,
TX-000002,STORE-0068,SKU-00145,2025-03-08 07:12:11,1,70.99,CARD,SPRING20
TX-000003,STORE-0037,SKU-02380,2024-06-16 08:45:35,2,226.23,ONLINE,
TX-000004,STORE-0090,SKU-00610,2024-06-21 19:32:15,3,301.34,CARD,SPRING20
TX-000005,STORE-0060,SKU-01489,2023-02-04 07:17:39,9,363.4,ONLINE,
TX-000006,STORE-0188,SKU-02325,2025-03-03 11:17:12,9,413.91,CARD,HOLIDAY10
TX-000007,STORE-0064,SKU-01140,2024-04-23 07:16:20,6,131.68,ONLINE,
TX-000008,STORE-0164,SKU-01171,2024-04-23 22:01:04,6,124.4,CASH,
TX-000009,STORE-0186,SKU-01526,2023-04-09 04:11:41,3,284.82,CARD,SPRING20
TX-000010,STORE-0128,SKU-00643,2023-01-14 17:08:31,5,285.18,ONLINE,SPRING20
TX-000011,STORE-0149,SKU-02183,2023-06-24 14:38:04,4,112.88,CASH,HOLIDAY10
TX-000012,STORE-0144,SKU-01816,2024-10-30 04:01:11,9,295.8,CASH,
TX-000013,STORE-0007,SKU-02405,2025-02-07 09:54:04,9,176.21,ONLINE,
TX-000014,STORE-0194,SKU-02767,2023-09-17 22:33:53,1,321.46,ONLINE,
TX-000015,STORE-0082,SKU-02618,2023-09-03 17:18:03,8,149.07,CARD,
TX-000016,STORE-0064,SKU-00445,2023-07-23 08:49:50,9,298.18,ONLINE,HOLIDAY10
TX-000017,STORE-0010,SKU-01102,2023-05-23 23:23:39,5,385.31,ONLINE,
TX-000018,STORE-0162,SKU-02141,2024-10-25 01:12:52,4,490.18,CASH,
TX-000019,STORE-0141,SKU-02120,2024-11-04 08:29:45,4,455.98,ONLINE,
TX-000020,STORE-0169,SKU-00297,2024-06-13 14:43:52,2,254.25,ONLINE,
TX-000021,STORE-0173,SKU-02711,2024-03-25 20:42:03,9,246.73,ONLINE,
TX-000022,STORE-0023,SKU-02917,2025-03-24 05:42:41,5,221.66,CASH,
TX-000023,STORE-0112,SKU-00853,2024-12-26 20:05:57,3,18.74,CASH,HOLIDAY10
TX-000024,STORE-0154,SKU-01221,2025-03-08 19:20:21,6,87.15,CASH,
TX-000025,STORE-0081,SKU-00385,2024-09-22 08:34:05,9,34.3,CASH,
TX-000026,STORE-0123,SKU-01531,2025-11-22 13:37:00,9,349.7,CARD,
TX-000027,STORE-0162,SKU-01995,2024-02-26 19:40:35,5,209.55,CASH,SPRING20
TX-000028,STORE-0141,SKU-02976,2025-08-29 21:25:49,8,36.57,CASH,
TX-000029,STORE-0115,SKU-02430,2024-09-19 03:04:17,4,346.83,CARD,
TX-000030,STORE-0039,SKU-00414,2024-06-15 00:16:00,5,324.0,CARD,
TX-000031,STORE-0054,SKU-02510,2025-04-21 22:23:18,7,361.38,CARD,
TX-000032,STORE-0006,SKU-00573,2023-05-11 20:54:35,7,301.92,ONLINE,SPRING20
TX-000033,STORE-0118,SKU-02419,2025-09-30 13:30:40,7,84.96,CASH,HOLIDAY10
TX-000034,STORE-0074,SKU-00329,2024-07-03 00:52:00,8,35.39,ONLINE,
TX-000035,STORE-0080,SKU-00718,2025-08-13 10:38:23,5,409.48,CARD,
TX-000036,STORE-0088,SKU-01734,2024-08-23 16:30:52,1,111.83,CARD,
TX-000037,STORE-0169,SKU-02279,2024-09-09 18:53:40,9,273.55,CARD,
TX-000038,STORE-0171,SKU-01099,2025-05-22 07:38:00,9,245.18,CARD,
TX-000039,STORE-0156,SKU-02006,2024-03-18 20:02:35,7,460.92,ONLINE,SPRING20
TX-000040,STORE-0129,SKU-02868,2025-08-13 10:43:09,6,278.46,CARD,
TX-000041,STORE-0052,SKU-00451,2023-09-02 00:43:29,5,292.11,CASH,HOLIDAY10
TX-000042,STORE-0013,SKU-01587,2024-12-06 15:18:44,5,163.15,CASH,
TX-000043,STORE-0177,SKU-02585,2023-02-02 07:58:37,3,479.55,CASH,
TX-000044,STORE-0090,SKU-02013,2024-07-29 21:09:20,1,308.13,ONLINE,
TX-000045,STORE-0025,SKU-00425,2024-08-20 05:36:25,6,7.47,CARD,SPRING20
TX-000046,STORE-0175,SKU-00302,2023-09-22 16:36:55,8,280.26,ONLINE,HOLIDAY10
TX-000047,STORE-0035,SKU-00157,2023-09-03 11:42:19,2,185.11,CASH,
TX-000048,STORE-0047,SKU-00167,2024-05-12 08:08:47,8,20.9,CARD,
TX-000049,STORE-0008,SKU-01849,2024-04-08 03:22:11,8,218.62,ONLINE,
TX-000050,STORE-0103,SKU-02520,2024-12-24 11:04:12,8,387.92,CARD,SPRING20
TX-000051,STORE-0049,SKU-02299,2023-02-27 07:45:39,3,254.38,CARD,
TX-000052,STORE-0137,SKU-01456,2024-12-02 01:08:20,8,321.53,ONLINE,SPRING20
TX-000053,STORE-0113,SKU-00315,2025-11-29 13:24:03,4,321.67,CASH,SPRING20
TX-000054,STORE-0016,SKU-02360,2024-07-19 15:57:09,3,337.15,ONLINE,
TX-000055,STORE-0116,SKU-00730,2025-05-27 00:33:04,9,196.86,ONLINE,
TX-000056,STORE-0170,SKU-02630,2025-02-18 11:24:40,8,188.15,CASH,
TX-000057,STORE-0138,SKU-00425,2023-12-30 05:22:06,2,7.27,ONLINE,
TX-000058,STORE-0023,SKU-02201,2024-05-15 23:12:36,8,81.34,CARD,
TX-000059,STORE-0089,SKU-00241,2023-07-20 08:58:04,3,475.65,CASH,
