sku_id,sku_name,category,subcategory,unit_of_measure,standard_cost,list_price,active_flag
SKU-00001,Product 1,Apparel,Standard,PACK,92.28,164.51,True
SKU-00002,Product 2,Tools,Budget,EA,84.3,260.85,True
SKU-00003,Product 3,Tools,Premium,EA,150.45,441.86,True
SKU-00004,Product 4,Tools,Premium,EA,9.99,428.77,True
SKU-00005,Product 5,Electronics,Budget,BOX,168.32,301.55,True
SKU-00006,Product 6,Tools,Premium,EA,134.42,267.33,True
SKU-00007,Product 7,Home,Standard,BOX,29.84,116.76,True
SKU-00008,Product 8,Tools,Budget,BOX,13.92,348.0,True
SKU-00009,Product 9,Electronics,Premium,EA,1.57,427.39,True
SKU-00010,Product 10,Apparel,Standard,BOX,59.54,156.32,False
SKU-00011,Product 11,Electronics,Budget,EA,65.64,220.59,True
SKU-00012,Product 12,Home,Budget,EA,36.18,57.82,True
SKU-00013,Product 13,Tools,Budget,EA,58.13,429.81,True
SKU-00014,Product 14,Tools,Premium,PACK,112.85,53.37,True
SKU-00015,Product 15,Home,Budget,BOX,23.46,353.65,True
SKU-00016,Product 16,Tools,Premium,BOX,41.03,97.55,True
SKU-00017,Product 17,Apparel,Standard,EA,112.84,368.16,True
SKU-00018,Product 18,Electronics,Standard,BOX,141.19,323.13,True
SKU-00019,Product 19,Electronics,Standard,EA,186.32,346.75,True
SKU-00020,Product 20,Home,Budget,BOX,102.6,319.72,True
SKU-00021,Product 21,Apparel,Standard,BOX,23.53,201.35,True
SKU-00022,Product 22,Home,Premium,EA,118.71,312.0,True
SKU-00023,Product 23,Home,Premium,EA,199.08,121.15,True
SKU-00024,Product 24,Apparel,Premium,EA,176.73,140.6,True
SKU-00025,Product 25,Home,Premium,BOX,156.25,37.24,False
SKU-00026,Product 26,Electronics,Premium,PACK,147.18,308.35,True
SKU-00027,Product 27,Tools,Premium,PACK,151.36,421.19,False
SKU-00028,Product 28,Electronics,Standard,BOX,19.05,192.33,True
SKU-00029,Product 29,Tools,Budget,BOX,104.52,108.3,True
SKU-00030,Product 30,Tools,Premium,EA,138.23,412.85,True
SKU-00031,Product 31,Electronics,Standard,EA,15.47,323.84,True
SKU-00032,Product 32,Home,Standard,EA,183.04,447.3,True
SKU-00033,Product 33,Apparel,Premium,BOX,26.41,8.09,False
SKU-00034,Product 34,Tools,Standard,EA,18.55,203.57,True
SKU-00035,Product 35,Apparel,Premium,EA,25.57,450.97,True
SKU-00036,Product 36,Apparel,Budget,BOX,85.22,339.31,True
SKU-00037,Product 37,Tools,Premium,PACK,109.09,237.09,True
SKU-00038,Product 38,Apparel,Budget,EA,19.85,210.2,True
SKU-00039,Product 39,Apparel,Standard,PACK,157.41,448.1,False
SKU-00040,Product 40,Home,Standard,EA,40.83,416.74,True
SKU-00041,Product 41,Apparel,Premium,EA,112.53,11.09,True
SKU-00042,Product 42,Electronics,Standard,EA,98.73,64.94,True
SKU-00043,Product 43,Tools,Standard,BOX,181.22,258.6,True
SKU-00044,Product 44,Home,Budget,BOX,178.77,61.74,True
SKU-00045,Product 45,Electronics,Premium,EA,48.44,141.01,True
SKU-00046,Product 46,Apparel,Premium,EA,108.15,418.28,True
SKU-00047,Product 47,Apparel,Budget,BOX,197.09,196.14,True
SKU-00048,Product 48,Electronics,Budget,BOX,67.04,228.2,True
SKU-00049,Product 49,Electronics,Budget,PACK,15.66,91.22,True
SKU-00050,Product 50,Home,Premium,BOX,143.89,303.15,True
SKU-00051,Product 51,Apparel,Budget,EA,101.14,64.55,True
SKU-00052,Product 52,Apparel,Premium,BOX,187.99,316.96,False
SKU-00053,Product 53,Apparel,Budget,PACK,115.46,374.63,True
SKU-00054,Product 54,Electronics,Standard,PACK,102.79,437.44,True
SKU-00055,Product 55,Apparel,Premium,EA,183.05,293.31,True
SKU-00056,Product 56,Tools,Premium,BOX,76.7,169.32,True
SKU-00057,Product 57,Tools,Premium,PACK,119.89,426.58,True
SKU-00058,Product 58,Home,Standard,PACK,169.3,300.33,True
SKU-00059,Product 59,Home,Standard,PACK,119.92,182.28,True
