supplier_id,supplier_name,country,contact_email,rating,lead_time_days
SUP-0001,Supplier 1,DE,supplier1@example.com,3.63,15
SUP-0002,Supplier 2,IN,supplier2@example.com,4.39,40
SUP-0003,Supplier 3,IN,supplier3@example.com,2.19,26
SUP-0004,Supplier 4,DE,supplier4@example.com,4.67,34
SUP-0005,Supplier 5,MX,supplier5@example.com,3.37,36
SUP-0006,Supplier 6,CN,supplier6@example.com,3.04,27
SUP-0007,Supplier 7,MX,supplier7@example.com,4.34,14
SUP-0008,Supplier 8,DE,supplier8@example.com,4.56,50
SUP-0009,Supplier 9,DE,supplier9@example.com,3.8,3
SUP-0010,Supplier 10,MX,supplier10@example.com,1.1,3
SUP-0011,Supplier 11,CN,supplier11@example.com,3.39,23
SUP-0012,Supplier 12,MX,supplier12@example.com,4.29,5
SUP-0013,Supplier 13,US,supplier13@example.com,3.18,2
SUP-0014,Supplier 14,US,supplier14@example.com,4.74,38
SUP-0015,Supplier 15,US,supplier15@example.com,4.59,36
SUP-0016,Supplier 16,CN,supplier16@example.com,3.12,2
SUP-0017,Supplier 17,CN,supplier17@example.com,2.62,51
SUP-0018,Supplier 18,DE,supplier18@example.com,1.22,15
SUP-0019,Supplier 19,IN,supplier19@example.com,3.53,2
SUP-0020,Supplier 20,CN,supplier20@example.com,2.06,36
SUP-0021,Supplier 21,IN,supplier21@example.com,3.67,28
SUP-0022,Supplier 22,US,supplier22@example.com,4.2,14
SUP-0023,Supplier 23,US,supplier23@example.com,2.63,12
SUP-0024,Supplier 24,IN,supplier24@example.com,1.06,30
SUP-0025,Supplier 25,MX,supplier25@example.com,4.46,35
SUP-0026,Supplier 26,DE,supplier26@example.com,3.2,8
SUP-0027,Supplier 27,DE,supplier27@example.com,2.26,32
SUP-0028,Supplier 28,MX,supplier28@example.com,3.54,20
SUP-0029,Supplier 29,IN,supplier29@example.com,3.7,42
SUP-0030,Supplier 30,IN,supplier30@example.com,1.59,51
SUP-0031,Supplier 31,CN,supplier31@example.com,3.59,15
SUP-0032,Supplier 32,US,supplier32@example.com,2.15,14
SUP-0033,Supplier 33,US,supplier33@example.com,4.21,26
SUP-0034,Supplier 34,IN,supplier34@example.com,4.77,25
SUP-0035,Supplier 35,CN,supplier35@example.com,1.41,57
SUP-0036,Supplier 36,CN,supplier36@example.com,4.67,19
SUP-0037,Supplier 37,DE,supplier37@example.com,4.61,20
SUP-0038,Supplier 38,DE,supplier38@example.com,2.37,55
SUP-0039,Supplier 39,IN,supplier39@example.com,1.12,51
SUP-0040,Supplier 40,DE,supplier40@example.com,3.65,26
SUP-0041,Supplier 41,CN,supplier41@example.com,2.38,57
SUP-0042,Supplier 42,MX,supplier42@example.com,1.77,32
SUP-0043,Supplier 43,US,supplier43@example.com,1.43,23
SUP-0044,Supplier 44,IN,supplier44@example.com,1.78,14
SUP-0045,Supplier 45,DE,supplier45@example.com,1.95,22
SUP-0046,Supplier 46,DE,supplier46@example.com,4.18,30
SUP-0047,Supplier 47,CN,supplier47@example.com,4.14,28
SUP-0048,Supplier 48,DE,supplier48@example.com,2.98,38
SUP-0049,Supplier 49,US,supplier49@example.com,3.21,40
SUP-0050,Supplier 50,IN,supplier50@example.com,4.67,57
SUP-0051,Supplier 51,DE,supplier51@example.com,4.63,30
SUP-0052,Supplier 52,MX,supplier52@example.com,4.31,51
SUP-0053,Supplier 53,MX,supplier53@example.com,2.5,3
SUP-0054,Supplier 54,IN,supplier54@example.com,2.47,56
SUP-0055,Supplier 55,MX,supplier55@example.com,4.55,35
SUP-0056,Supplier 56,MX,supplier56@example.com,4.71,4
SUP-0057,Supplier 57,DE,supplier57@example.com,4.19,55
SUP-0058,Supplier 58,MX,supplier58@example.com,4.03,39
SUP-0059,Supplier 59,DE,supplier59@example.com,3.23,34
SUP-0060,Supplier 60,US,supplier60@example.com,2.35,45
SUP-0061,Supplier 61,CN,supplier61@example.com,1.96,11
SUP-0062,Supplier 62,DE,supplier62@example.com,1.56,13
SUP-0063,Supplier 63,CN,supplier63@example.com,3.91,2
SUP-0064,Supplier 64,DE,supplier64@example.com,4.11,36
SUP-0065,Supplier 65,DE,supplier65@example.com,2.43,53
SUP-0066,Supplier 66,IN,supplier66@example.com,1.02,30
SUP-0067,Supplier 67,DE,supplier67@example.com,4.75,16
SUP-0068,Supplier 68,MX,supplier68@example.com,2.75,54
SUP-0069,Supplier 69,MX,supplier69@example.com,4.9,32
SUP-0070,Supplier 70,DE,supplier70@example.com,3.71,15
SUP-0071,Supplier 71,US,supplier71@example.com,1.5,23
SUP-0072,Supplier 72,MX,supplier72@example.com,2.31,47
SUP-0073,Supplier 73,CN,supplier73@example.com,3.63,35
SUP-0074,Supplier 74,US,supplier74@example.com,3.6,45
SUP-0075,Supplier 75,CN,supplier75@example.com,1.93,17
SUP-0076,Supplier 76,DE,supplier76@example.com,1.71,18
SUP-0077,Supplier 77,DE,supplier77@example.com,2.11,32
SUP-0078,Supplier 78,DE,supplier78@example.com,4.15,16
SUP-0079,Supplier 79,MX,supplier79@example.com,1.97,1
SUP-0080,Supplier 80,US,supplier80@example.com,3.81,14
SUP-0081,Supplier 81,CN,supplier81@example.com,4.48,2
SUP-0082,Supplier 82,IN,supplier82@example.com,2.57,6
SUP-0083,Supplier 83,US,supplier83@example.com,1.03,26
SUP-0084,Supplier 84,CN,supplier84@example.com,1.57,55
SUP-0085,Supplier 85,IN,supplier85@example.com,2.25,44
SUP-0086,Supplier 86,US,supplier86@example.com,1.76,8
SUP-0087,Supplier 87,US,supplier87@example.com,2.16,24
SUP-0088,Supplier 88,DE,supplier88@example.com,3.18,58
SUP-0089,Supplier 89,US,supplier89@example.com,1.08,39
SUP-0090,Supplier 90,CN,supplier90@example.com,1.26,50
SUP-0091,Supplier 91,DE,supplier91@example.com,4.42,43
SUP-0092,Supplier 92,US,supplier92@example.com,3.09,31
SUP-0093,Supplier 93,DE,supplier93@example.com,4.74,57
SUP-0094,Supplier 94,IN,supplier94@example.com,1.01,21
SUP-0095,Supplier 95,CN,supplier95@example.com,1.0,20
SUP-0096,Supplier 96,IN,supplier96@example.com,3.96,2
SUP-0097,Supplier 97,CN,supplier97@example.com,2.91,43
SUP-0098,Supplier 98,MX,supplier98@example.com,4.66,40
SUP-0099,Supplier 99,IN,supplier99@example.com,4.15,58
SUP-0100,Supplier 100,MX,supplier100@example.com,3.02,20
SUP-0101,Supplier 101,DE,supplier101@example.com,2.91,49
SUP-0102,Supplier 102,IN,supplier102@example.com,4.24,22
SUP-0103,Supplier 103,US,supplier103@example.com,4.21,13
SUP-0104,Supplier 104,CN,supplier104@example.com,2.11,59
SUP-0105,Supplier 105,US,supplier105@example.com,3.7,20
SUP-0106,Supplier 106,US,supplier106@example.com,3.57,44
SUP-0107,Supplier 107,DE,supplier107@example.com,4.42,55
SUP-0108,Supplier 108,DE,supplier108@example.com,4.47,31
SUP-0109,Supplier 109,US,supplier109@example.com,2.07,23
SUP-0110,Supplier 110,US,supplier110@example.com,4.52,26
SUP-0111,Supplier 111,US,supplier111@example.com,4.7,43
SUP-0112,Supplier 112,CN,supplier112@example.com,1.44,53
SUP-0113,Supplier 113,DE,supplier113@example.com,3.29,30
SUP-0114,Supplier 114,IN,supplier114@example.com,2.75,45
SUP-0115,Supplier 115,DE,supplier115@example.com,2.61,9
SUP-0116,Supplier 116,US,supplier116@example.com,3.82,39
SUP-0117,Supplier 117,IN,supplier117@example.com,1.52,42
SUP-0118,Supplier 118,IN,supplier118@example.com,4.28,53
SUP-0119,Supplier 119,IN,supplier119@example.com,1.11,32
SUP-0120,Supplier 120,DE,supplier120@example.com,3.31,44
SUP-0121,Supplier 121,US,supplier121@example.com,1.9,40
SUP-0122,Supplier 122,US,supplier122@example.com,3.67,12
SUP-0123,Supplier 123,MX,supplier123@example.com,3.1,12
SUP-0124,Supplier 124,CN,supplier124@example.com,5.0,27
SUP-0125,Supplier 125,DE,supplier125@example.com,4.45,46
SUP-0126,Supplier 126,MX,supplier126@example.com,2.35,26
SUP-0127,Supplier 127,MX,supplier127@example.com,3.11,43
SUP-0128,Supplier 128,MX,supplier128@example.com,2.27,14
SUP-0129,Supplier 129,DE,supplier129@example.com,3.92,14
